employee_id_hash,year,talent_score,talent_category,assessment_date
aa8fdbb7d8159b3048daca36fe5c06d2,2025,81,,2025-05-27
adad9e1c91a7e0f63a139458941b1c66,2025,77,,2025-05-27
2edfeadfe636973b42d7b6ac315b896c,2025,81,,2025-05-27
4e732ced3463d06de0ca9a15b6153677,2025,81,,2025-05-27
df263d996281d984952c07998dc54358,2025,82,,2025-05-27
6fd86e0ad726b778e37cf270fa0247d7,2025,80,,2025-05-27
dfa037a53e121ecc9e0926800c3e814e,2025,77,,2025-05-27
37693cfc748049e45d87b8c7d8b9aacd,2025,82,,2025-05-27
5f2c22cb4a5380af7ca75622a6426917,2025,78,,2025-05-27
7990ec44fcf3d7a0e5a2add28362213c,2025,80,,2025-05-27
6107d91fc9a0b04bc044aa7d8c1443bd,2025,73,,2025-05-27
2f37d10131f2a483a8dd005b3d14b0d9,2025,80,,2025-05-27
c8da655dbb57d68ec776f214a7908b6d,2025,81,,2025-05-27
5d44ee6f2c3f71b73125876103c8f6c4,2025,77,,2025-05-27
185c29dc24325934ee377cfda20e414c,2025,78,,2025-05-27
18d8042386b79e2c279fd162df0205c8,2025,75,,2025-05-27
eddb904a6db773755d2857aacadb1cb0,2025,73,,2025-05-27
bd430257087f92e5322919c84dc99f32,2025,80,,2025-05-27
37aa5dfc44dddd0d19d4311e2c7a0240,2025,81,,2025-05-27
c54bc2ded4480856dc9f39bdcf35a3e7,2025,78,,2025-05-27
7cc538b1337957dae283c30ad46def38,2025,81,,2025-05-27
555183669058fb273008595a9393d628,2025,80,,2025-05-27
e41e164f7485ec4a28741a2d0ea41c74,2025,79,,2025-05-27
4ff3e350028d0cfcb92c3a87a57585b1,2025,69,,2025-05-27
9ad6aaed513b73148b7d49f70afcfb32,2025,81,,2025-05-27
a760880003e7ddedfef56acb3b09697f,2025,81,,2025-05-27
816b112c6105b3ebd537828a39af4818,2025,77,,2025-05-27
a1d33d0dfec820b41b54430b50e96b5c,2025,80,,2025-05-27
4a64d913220fca4c33c140c6952688a8,2025,74,,2025-05-27
e94550c93cd70fe748e6982b3439ad3b,2025,75,,2025-05-27
41ae36ecb9b3eee609d05b90c14222fb,2025,78,,2025-05-27
b137fdd1f79d56c7edf3365fea7520f2,2025,75,,2025-05-27
4eab60e55fe4c7dd567a0be28016bff3,2025,81,,2025-05-27
a543c921889f9dcddaff0ce4ca955293,2025,82,,2025-05-27
abd815286ba1007abfbb8415b83ae2cf,2025,74,,2025-05-27
faa9afea49ef2ff029a833cccc778fd0,2025,76,,2025-05-27
42e77b63637ab381e8be5f8318cc28a2,2025,75,,2025-05-27
6f2268bd1d3d3ebaabb04d6b5d099425,2025,78,,2025-05-27
10a7cdd970fe135cf4f7bb55c0e3b59f,2025,81,,2025-05-27
b0eb9a95e8b085e4025eae2f0d76a6a6,2025,77,,2025-05-27
fe1f9c70bdf347497e1a01b6c486bdb9,2025,84,,2025-05-27
2838023a778dfaecdc212708f721b788,2025,79,,2025-05-27
5751ec3e9a4feab575962e78e006250d,2025,80,,2025-05-27
6c8349cc7260ae62e3b1396831a8398f,2025,78,,2025-05-27
6467c327eaf8940b4dd07a08c63c5e85,2025,85,,2025-05-27
6395ebd0f4b478145ecfbaf939454fa4,2025,77,,2025-05-27
872488f88d1b2db54d55bc8bba2fad1b,2025,78,,2025-05-27
