employee_id_hash,company_id,tenure_years,gender,marital_status,is_permanent,performance_score,performance_rating,has_promotion,behavior_avg,perf_beh_ratio,combined_score,score_difference,tenure_category,performance_level,behavioral_level,high_performer,gender_encoded,marital_status_encoded,is_permanent_encoded,performance_rating_encoded,tenure_category_encoded,performance_level_encoded,behavioral_level_encoded
00003e3b9e5336685200ae85d21b4f5e,82,2,O,married,t,95.33333333333331,Good,0,94.58333333333331,1.0079295154185022,94.95833333333331,0.75,junior,high,medium,0,1,0,1,2,0,0,2
00c17237d011cca999f55a43db2ce040,101,1,O,single,t,82.0,Average,0,80.0,1.025,81.0,2.0,junior,medium,low,0,1,1,1,0,0,2,1
021bbc7ee20b71134d53e20206bd6feb,72,9,O,single,t,49.8,Average,0,80.71428571428572,0.6169911504424778,65.25714285714287,-30.914285714285725,senior,low,low,0,1,1,1,0,2,1,1
02a3c7fb3f489288ae6942498498db20,72,2,O,married,f,94.16666666666669,Good,0,92.5,1.0180180180180183,93.33333333333334,1.6666666666666856,junior,high,medium,0,1,0,0,2,0,0,2
0342c9a7b54450830e9727b98f8e3cb7,78,6,O,married,t,51.57142857142857,Good,0,100.0,0.5157142857142857,75.78571428571428,-48.42857142857143,mid,low,high,0,1,0,1,2,1,1,0
0353ab4cbed5beae847a7ff6e220b5cf,63,9,O,married,t,82.0,Excellent,0,100.0,0.82,91.0,-18.0,senior,medium,high,0,1,0,1,1,2,2,0
03b2ceb73723f8b53cd533e4fba898ee,101,2,O,married,t,90.0,Good,0,93.5,0.9625668449197861,91.75,-3.5,junior,high,medium,0,1,0,1,2,0,0,2
04fcc65450efcccdc9869442c3e36310,101,3,O,married,t,83.27272727272727,Average,0,90.41666666666669,0.920988688730624,86.84469696969697,-7.143939393939419,mid,medium,medium,0,1,0,1,0,1,2,2
051e4e127b92f5d98d3c79b195f2b291,72,10,O,married,t,81.375,Need Improvement,0,95.0,0.8565789473684211,88.1875,-13.625,senior,medium,high,0,1,0,1,3,2,2,0
05d0abb9a864ae4981e933685b8b915c,78,0,O,single,t,36.6331845238095,unknown,0,73.33333333333333,0.499543425324675,54.983258928571416,-36.70014880952383,junior,low,low,0,1,1,1,4,0,1,1
