employee_id_hash,company_id,tenure_years,gender,marital_status,is_permanent,performance_score,performance_rating,has_promotion,behavior_avg,psychological_score,drive_score,mental_strength_score,adaptability_score,collaboration_score,has_quick_assessment,holistic_score,score_alignment,leadership_potential
021bbc7ee20b71134d53e20206bd6feb,72,9,O,single,t,49.8,Average,0,80.71428571428572,26.133333333333336,76.8,80.9,79.9,9.0,1,51.97428571428572,0.7262944241480336,57.69
06997f04a7db92466a2baa6ebc8b872d,66,4,O,married,t,62.45454545454545,Excellent,0,85.75,26.46666666666667,77.7,82.3,81.6,9.0,1,58.646818181818176,0.7013274024052004,58.47
11bcd3c1d43688891ed23f5677a174ea,101,14,O,married,t,75.15384615384616,Good,0,97.14285714285714,24.541666666666668,76.5,76.5,76.5,8.0,1,66.5668956043956,0.6277088465712755,55.95
14678db82874f1456031fcc05a3afaf6,101,9,O,married,t,102.14285714285714,Average,0,95.0,26.133333333333336,76.8,80.9,79.9,9.0,1,77.19714285714286,0.580256310436722,57.69
168908dd3227b8358eababa07fcaf091,67,6,O,married,t,80.57142857142857,Good,0,99.375,24.71666666666667,77.7,73.9,76.0,8.0,1,69.45607142857143,0.6116875085274288,55.65
18997733ec258a9fcaf239cc55d53363,63,16,O,married,t,49.81818181818182,Good,0,91.5625,28.3,88.1,84.5,84.0,9.0,1,55.88602272727273,0.6783437612534358,63.290000000000006
197838c579c3b78927e0cd15ba4c9689,70,3,O,married,t,89.75,Good,1,62.114583333333336,25.208333333333332,75.8,76.2,79.5,8.0,1,62.096875,0.6761838412639591,55.58
1c65cef3dfd1e00c0b03923a1c591db4,81,5,O,married,t,76.38461538461539,Average,0,92.5,25.208333333333332,75.8,76.2,79.5,8.0,1,65.86634615384615,0.6486481851317702,55.58
1ce927f875864094e3906a4a0b5ece68,77,14,O,married,t,91.75,Good,1,90.0,25.941666666666663,80.1,79.8,78.4,8.0,1,71.4825,0.6250051265782522,58.379999999999995
20546457187cf3d52ea86538403e47cc,66,7,O,single,t,90.5,Excellent,0,96.75,27.241666666666664,85.6,80.6,84.7,9.0,1,73.3975,0.6154637503240886,61.120000000000005
2151b4c76b4dcb048d06a5c32942b6f6,101,3,O,married,t,85.46153846153847,Good,1,96.25,22.416666666666668,70.0,70.0,67.0,8.0,1,69.78461538461539,0.6012016409029538,51.4
